26 Sep 2023 | 01:42:41,332 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:42:41,335 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:42:41,336 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:42:41,339 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:42:41,371 | DEBUG | pool-2-thread-2 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:42:41,372 | DEBUG | pool-2-thread-2 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:43:46,333 | DEBUG | pool-2-thread-5 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:43:46,346 | DEBUG | pool-2-thread-10 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:43:46,357 | DEBUG | pool-2-thread-5 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:43:46,359 | DEBUG | pool-2-thread-10 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:43:46,372 | DEBUG | pool-2-thread-7 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:43:46,372 | DEBUG | pool-2-thread-7 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:44:51,332 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:44:51,335 | DEBUG | pool-2-thread-6 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:44:51,336 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:44:51,338 | DEBUG | pool-2-thread-6 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:44:51,371 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:44:51,371 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:45:56,330 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:45:56,331 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:45:56,332 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:45:56,335 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:45:56,371 | DEBUG | pool-2-thread-9 | rmq | TOP WIN VIN MD5: 0
26 Sep 2023 | 01:45:56,371 | DEBUG | pool-2-thread-9 | rmq | TOP WIN XU MD5: 0
26 Sep 2023 | 01:47:01,331 | DEBUG | pool-2-thread-1 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:47:01,333 | DEBUG | pool-2-thread-8 | rmq | TOP WIN VIN: 0
26 Sep 2023 | 01:47:01,338 | DEBUG | pool-2-thread-1 | rmq | TOP WIN XU: 0
26 Sep 2023 | 01:47:01,341 | DEBUG | pool-2-thread-8 | rmq | TOP WIN XU: 0
